ticker,currentPrice,beta,marketCap,volume,dividendYield,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities
BMY,43.52,0.371,88587026432,24586282,5.39,False,False,False,False,False,True,False,False,False,False
AVGO,293.87,1.138,1382208765952,12003323,0.78,False,False,False,False,False,False,False,False,True,False
BR,248.09,0.955,29141395456,203565,1.43,False,False,False,False,False,False,False,False,True,False
BRO,91.56,0.82,30200424448,2216185,0.65,False,False,False,False,True,False,False,False,False,False
BF-B,28.63,0.55,13505228800,1581899,3.08,False,False,True,False,False,False,False,False,False,False
BLDR,124.38,1.695,13745855488,2427764,0.0,False,False,False,False,False,False,True,False,False,False
BG,80.37,0.653,16075366400,1285247,3.49,False,False,True,False,False,False,False,False,False,False
BXP,65.87,1.174,11644827648,628327,5.57,False,False,False,False,False,False,False,True,False,False
CHRW,115.305,0.897,13690277888,3184850,2.54,False,False,False,False,False,False,True,False,False,False
CDNS,367.21,0.988,100061044736,1422074,0.0,False,False,False,False,False,False,False,False,True,False
CZR,26.92,2.298,5599144448,7646430,0.0,False,True,False,False,False,False,False,False,False,False
CPT,109.9797,0.78,11750010880,773609,3.75,False,False,False,False,False,False,False,True,False,False
CPB,31.93,0.08,9519290368,2504252,4.86,False,False,True,False,False,False,False,False,False,False
COF,215.0225,1.149,137506897920,1490678,1.12,False,False,False,False,True,False,False,False,False,False
CAH,158.19,0.689,37756313600,433711,1.29,False,False,False,False,False,True,False,False,False,False
KMX,57.39,1.379,8612631552,2261615,0.0,False,True,False,False,False,False,False,False,False,False
CARR,68.91,1.312,58643996672,3674962,1.32,False,False,False,False,False,False,True,False,False,False
CAT,439.515,1.38,206710505472,1592443,1.39,False,False,False,False,False,False,True,False,False,False
CBOE,242.223,0.424,25363898368,338419,1.04,False,False,False,False,True,False,False,False,False,False
CBRE,156.24,1.304,46575927296,557024,0.0,False,False,False,False,False,False,False,True,False,False
CDW,176.72,0.927,23271372800,474617,1.39,False,False,False,False,False,False,False,False,True,False
COR,290.37,0.568,56280387584,360655,0.75,False,False,False,False,False,True,False,False,False,False
CNC,25.865,0.442,12703155200,9534134,0.0,False,False,False,False,False,True,False,False,False,False
CNP,38.915,0.562,25406242816,2940750,2.29,False,False,False,False,False,False,False,False,False,True
CF,92.135,0.941,14926791680,572082,2.16,False,False,False,False,False,False,False,False,False,False
CRL,172.365,1.498,8465827840,221725,0.0,False,False,False,False,False,True,False,False,False,False
SCHW,98.25,0.926,178517295104,2892559,1.1,False,False,False,False,True,False,False,False,False,False
CHTR,271.62,1.078,37100847104,2071637,0.0,True,False,False,False,False,False,False,False,False,False
CVX,151.915,0.803,308878114816,3962620,4.45,False,False,False,True,False,False,False,False,False,False
CMG,43.12,1.079,57818742784,12443748,0.0,False,True,False,False,False,False,False,False,False,False
CB,266.7275,0.537,106341588992,1042825,1.46,False,False,False,False,True,False,False,False,False,False
CHD,94.72,0.501,23327356928,1455466,1.23,False,False,True,False,False,False,False,False,False,False
CI,275.7,0.454,73651331072,2597563,2.03,False,False,False,False,False,True,False,False,False,False
CINF,148.5842,0.768,23235002368,287568,2.33,False,False,False,False,True,False,False,False,False,False
CTAS,223.92,1.042,90234830848,406283,0.81,False,False,False,False,False,False,True,False,False,False
CSCO,68.215,0.899,270131380224,7602625,2.4,False,False,False,False,False,False,False,False,True,False
C,94.65,1.329,174241185792,5770268,2.5,False,False,False,False,True,False,False,False,False,False
CFG,47.85,1.089,20707995648,1511698,3.45,False,False,False,False,True,False,False,False,False,False
CLX,126.1,0.504,15542203392,800199,3.87,False,False,True,False,False,False,False,False,False,False
CME,280.03,0.455,100917207040,683785,1.8,False,False,False,False,True,False,False,False,False,False
CMS,72.895,0.37,21804642304,1507729,3.01,False,False,False,False,False,False,False,False,False,True
KO,68.27,0.45,293811519488,6565341,2.97,False,False,True,False,False,False,False,False,False,False
CTSH,72.37,0.952,35674214400,4594541,1.69,False,False,False,False,False,False,False,False,True,False
COIN,384.5,3.712,97934065664,6017493,0.0,False,False,False,False,True,False,False,False,False,False
CL,84.432,0.371,68425379840,3796672,2.42,False,False,True,False,False,False,False,False,False,False
CMCSA,33.495,0.947,125060284416,22549491,4.06,True,False,False,False,False,False,False,False,False,False
CAG,18.375,0.107,8773015552,5798208,7.56,False,False,True,False,False,False,False,False,False,False
COP,95.72,0.623,120837881856,2143345,3.23,False,False,False,True,False,False,False,False,False,False
ED,103.03,0.242,37121298432,580929,3.31,False,False,False,False,False,False,False,False,False,True
STZ,168.06,0.664,29632505856,1132331,2.38,False,False,True,False,False,False,False,False,False,False
CEG,347.39,1.141,108877930496,1374839,0.45,False,False,False,False,False,False,False,False,False,True
CPRT,46.0,1.071,44479057920,1935026,0.0,False,False,False,False,False,False,True,False,False,False
GLW,62.73,1.097,53663694848,3345682,1.79,False,False,False,False,False,False,False,False,True,False
CPAY,325.0175,0.957,22911588352,167467,0.0,False,False,False,False,False,False,False,False,True,False
CTVA,72.03,0.755,49136701440,1567369,1.0,False,False,False,False,False,False,False,False,False,False
CSGP,95.62,0.89,40509411328,1109461,0.0,False,False,False,False,False,False,False,True,False,False
COST,940.9871,0.961,417306148864,1370396,0.56,False,False,True,False,False,False,False,False,False,False
CTRA,24.3,0.331,18547240960,2679020,3.62,False,False,False,True,False,False,False,False,False,False
CRWD,458.3,1.157,114230353920,1491494,0.0,False,False,False,False,False,False,False,False,True,False
CCI,105.14,0.898,45784158208,1326970,3.97,False,False,False,False,False,False,False,True,False,False
CSX,35.17,1.23,65566728192,7469575,1.47,False,False,False,False,False,False,True,False,False,False
CMI,368.715,1.019,50792337408,274118,2.19,False,False,False,False,False,False,True,False,False,False
CVS,62.83,0.576,79481208832,15964553,4.27,False,False,False,False,False,True,False,False,False,False
DHR,200.27,0.801,143403728896,2652606,0.63,False,False,False,False,False,True,False,False,False,False
DRI,202.93,0.737,23749707776,428052,2.95,False,True,False,False,False,False,False,False,False,False
DDOG,141.0,1.026,48694771712,7041774,0.0,False,False,False,False,False,False,False,False,True,False
DVA,141.43,1.106,10688855040,201850,0.0,False,False,False,False,False,True,False,False,False,False
DAY,58.295,1.087,9320261632,404457,0.0,False,False,False,False,False,False,False,False,True,False
DECK,106.93,0.991,15862318080,1738198,0.0,False,True,False,False,False,False,False,False,False,False
DE,524.2476,1.085,141980418048,765903,1.28,False,False,False,False,False,False,True,False,False,False
DELL,133.745,1.098,90462707712,1846053,1.57,False,False,False,False,False,False,False,False,True,False
DAL,53.405,1.491,34870685696,3319431,1.4,False,False,False,False,False,False,True,False,False,False
DVN,33.24,1.06,21343404032,2666067,2.84,False,False,False,True,False,False,False,False,False,False
DXCM,81.865,1.448,32099840000,4987145,0.0,False,False,False,False,False,True,False,False,False,False
FANG,148.5,1.024,43386949632,893378,3.47,False,False,False,True,False,False,False,False,False,False
DLR,177.09,0.968,61387186176,813902,2.75,False,False,False,False,False,False,False,True,False,False
DG,105.4563,0.315,23207874560,1487843,2.24,False,False,True,False,False,False,False,False,False,False
DLTR,113.32,0.862,23649431552,1181437,0.0,False,False,True,False,False,False,False,False,False,False
D,58.07,0.551,49521569792,4089108,4.58,False,False,False,False,False,False,False,False,False,True
DPZ,467.985,1.093,15887575040,346299,1.46,False,True,False,False,False,False,False,False,False,False
DASH,250.79,1.703,106270752768,1147003,0.0,False,True,False,False,False,False,False,False,False,False
DOV,181.98,1.259,24955643904,318793,1.13,False,False,False,False,False,False,True,False,False,False
DOW,23.355,0.857,16555052032,11216446,5.85,False,False,False,False,False,False,False,False,False,False
DHI,143.33,1.377,42730115072,1499721,1.12,False,True,False,False,False,False,False,False,False,False
DTE,137.52,0.438,28547502080,721219,3.22,False,False,False,False,False,False,False,False,False,True
DUK,121.355,0.353,94324031488,2250691,3.54,False,False,False,False,False,False,False,False,False,True
DD,72.06,1.024,30157037568,1030435,2.27,False,False,False,False,False,False,False,False,False,False
EMN,72.595,1.235,8381818880,896883,4.52,False,False,False,False,False,False,False,False,False,False
ETN,387.85,1.156,151765712896,1174997,1.07,False,False,False,False,False,False,True,False,False,False
EBAY,92.36,1.249,42563551232,12940401,1.5,False,True,False,False,False,False,False,False,False,False
ECL,264.495,1.035,74987765760,530924,0.99,False,False,False,False,False,False,False,False,False,False
EIX,51.57,0.754,19842279424,2060847,6.4,False,False,False,False,False,False,False,False,False,True
EW,79.555,1.109,46666964992,2045843,0.0,False,False,False,False,False,True,False,False,False,False
EA,152.7,0.733,38369234944,1153004,0.49,True,False,False,False,False,False,False,False,False,False
ELV,284.95,0.612,64164474880,1494592,2.33,False,False,False,False,False,True,False,False,False,False
EMR,145.875,1.283,82054684672,1287591,1.44,False,False,False,False,False,False,True,False,False,False
ENPH,32.2848,1.666,4221270016,3584630,0.0,False,False,False,False,False,False,False,False,True,False
ETR,90.25,0.573,40288411648,1243031,2.69,False,False,False,False,False,False,False,False,False,True
EOG,120.52,0.776,65778249728,1241597,3.37,False,False,False,True,False,False,False,False,False,False
EPAM,159.635,1.701,9043752960,214371,0.0,False,False,False,False,False,False,False,False,True,False
EQT,53.8216,0.654,33587748864,3658553,1.18,False,False,False,True,False,False,False,False,False,False
EFX,241.86,1.604,29796425728,519339,0.83,False,False,False,False,False,False,True,False,False,False
EQIX,789.84,0.915,77261365248,420299,2.35,False,False,False,False,False,False,False,True,False,False
EQR,63.95,0.897,25043331072,2378956,4.24,False,False,False,False,False,False,False,True,False,False
ERIE,355.52,0.34,18590105600,42255,1.55,False,False,False,False,True,False,False,False,False,False
ESS,262.99,0.791,18164297728,492540,3.83,False,False,False,False,False,False,False,True,False,False
EL,94.65,1.167,34050527232,1818750,1.49,False,False,True,False,False,False,False,False,False,False
EG,337.8325,0.504,14369603584,381286,2.41,False,False,False,False,True,False,False,False,False,False
EVRG,70.61,0.476,16246726656,623993,3.81,False,False,False,False,False,False,False,False,False,True
ES,65.79,0.636,24170258432,1013805,4.56,False,False,False,False,False,False,False,False,False,True
EXC,44.67,0.467,45096148992,5036008,3.62,False,False,False,False,False,False,False,False,False,True
EXE,104.07,0.464,24783853568,1842836,3.06,False,False,False,True,False,False,False,False,False,False
EXPE,180.5525,1.577,22952015872,479552,0.89,False,True,False,False,False,False,False,False,False,False
EXPD,116.145,1.057,15905824768,1000456,1.38,False,False,False,False,False,False,True,False,False,False
EXR,136.5075,1.108,30245283840,1766933,4.34,False,False,False,False,False,False,False,True,False,False
XOM,111.88,0.469,482162540544,6819151,3.54,False,False,False,True,False,False,False,False,False,False
FFIV,315.335,1.002,18110193664,979714,0.0,False,False,False,False,False,False,False,False,True,False
FDS,406.515,0.834,15369031680,463561,1.08,False,False,False,False,True,False,False,False,False,False
FAST,46.35,0.958,53193113600,2561442,1.9,False,False,False,False,False,False,True,False,False,False
FRT,92.39,1.107,8025725440,302012,4.7,False,False,False,False,False,False,False,True,False,False
FDX,224.595,1.356,52981739520,900149,2.59,False,False,False,False,False,False,True,False,False,False
FIS,80.195,1.073,42134052864,926551,1.98,False,False,False,False,False,False,False,False,True,False
FITB,41.95,0.925,28010436608,1545554,3.51,False,False,False,False,True,False,False,False,False,False
FSLR,172.65,1.515,18515675136,1565035,0.0,False,False,False,False,False,False,False,False,True,False
FE,42.375,0.365,24456984576,2301508,4.26,False,False,False,False,False,False,False,False,False,True
FI,140.305,0.915,76268814336,2551057,0.0,False,False,False,False,False,False,False,False,True,False
F,11.005,1.501,43761930240,65909178,6.9,False,True,False,False,False,False,False,False,False,False
FTNT,100.77,1.063,77130964992,1759845,0.0,False,False,False,False,False,False,False,False,True,False
FTV,48.58,1.0555930959778057,16511467520,1799955,0.64,False,False,False,False,False,False,False,False,True,False
FOXA,55.69,0.522,23977105408,958941,0.97,True,False,False,False,False,False,False,False,False,False
FOX,51.04,0.522,23910862848,329129,1.06,True,False,False,False,False,False,False,False,False,False
